addendum	addenda,addendums
aircraft	aircraft
alga	algae
alumna	alumnae
alumnus	alumni
analysis	analyses
antenna	antennae,antennas
antithesis	antitheses
apex	apices,apexes
apparatus	apparatuses
appendix	appendices,appendixes
axis	axes
bacillus	bacilli
bacterium	bacteria
basis	bases
beau	beaux,beaus
bison	bison
buffalo	buffalos,buffaloes
bureau	bureaux,bureaus
bus	busses,buses
cactus	cacti,cactus,cactuses
calf	calves
child	children
château	châteaux,châteaus
codex	codices
concerto	concerti,concertos
corps	corps
corpus	corpora,corpuses
crisis	crises
criterion	criteria,criterions
curriculum	curricula,curriculums
datum	data
deer	deer,deers
diagnosis	diagnoses
die	dice,dies
dwarf	dwarves,dwarfs
echo	echoes
elf	elves
ellipsis	ellipses
embargo	embargoes
emphasis	emphases
erratum	errata
faux pas	faux pas
fez	fezzes,fezes
fireman	firemen
fish	fish,fishes
focus	foci,focuses
foot	feet,foot
formula	formulae,formulas
fungus	fungi,funguses
genus	genera,genuses
goose	geese
graffito	graffiti
grouse	grouse,grouses
half	halves
hero	heroes
hippopotamus	hippopotami,hippopotamuses
hoof	hooves,hoofs
hypothesis	hypotheses
index	indices,indexes
knife	knives
larva	larvae,larvas
leaf	leaves
libretto	libretti,librettos
life	lives
loaf	loaves
locus	loci
louse	lice
man	men
matrix	matrices,matrixes
means	means
medium	media,mediums
memorandum	memoranda,memorandums
millennium	millenniums,milennia
minutia	minutiae
moose	moose
mosquito	mosquitoes
mouse	mice
nebula	nebulae,nebulas
neurosis	neuroses
nucleus	nuclei,nucleuses
oasis	oases
octopus	octopi,octopuses
offspring	offspring,offsprings
opus	opera,opuses
ovum	ova
ox	oxen,ox
paralysis	paralyses
parenthesis	parentheses
person	people
phenomenon	phenomena,phenomenons
phylum	phyla
potato	potatoes
prognosis	prognoses
quiz	quizzes
radius	radii,radiuses
referendum	referenda,referendums
salmon	salmon,salmons
scarf	scarves,scarfs
scissors	scissors
self	selves
series	series
sheep	sheep
shelf	shelves
shrimp	shrimp,shrimps
species	species
stimulus	stimuli
stratum	strata
swine	swine
syllabus	syllabi,syllabuses
symposium	symposia,symposiums
synopsis	synopses
synthesis	syntheses
tableau	tableaux,tableaus
that	those
thesis	theses
thief	thieves
this	these
tomato	tomatoes
tooth	teeth
torpedo	torpedoes
trout	trout,trouts
tuna	tuna,tunas
vertebra	vertebrae,vertebras
vertex	vertices,vertexes
veto	vetoes
vita	vitae
vortex	vortices,vortexes
watch	watches
wharf	wharves,wharfs
wife	wives
wolf	wolves
woman	women
zero	zeros,zeroes
